Layer (type),Output Shape,Param #
MultiScaleDiscriminator,"[1, 1, 61, 61]",273282
Sequential,"[1, 1, 61, 61]",136641
Conv2d,"[1, 64, 128, 128]",3136
LeakyReLU,"[1, 64, 128, 128]",0
Conv2d,"[1, 128, 64, 64]",131200
GroupNorm,"[1, 128, 64, 64]",256
LeakyReLU,"[1, 128, 64, 64]",0
Conv2d,"[1, 1, 61, 61]",2049
Sigmoid,"[1, 1, 61, 61]",0
Sequential,"[1, 1, 29, 29]",136641
AvgPool2d,"[1, 3, 128, 128]",0
Conv2d,"[1, 64, 64, 64]",3136
LeakyReLU,"[1, 64, 64, 64]",0
Conv2d,"[1, 128, 32, 32]",131200
GroupNorm,"[1, 128, 32, 32]",256
LeakyReLU,"[1, 128, 32, 32]",0
Conv2d,"[1, 1, 29, 29]",2049
Sigmoid,"[1, 1, 29, 29]",0
