epoch,train_g_loss,train_d_loss,test_psnr,test_ssim,best_psnr
1,1.205917466,0.274513459,12.29612083,0.05066166,12.29612083
2,0.363307367,0.031283341,15.45214384,0.223741707,15.45214384
3,0.241552785,0.015890715,17.20849406,0.376013081,17.20849406
4,0.192288369,0.009520442,18.33996823,0.481871599,18.33996823
5,0.167760376,0.006951347,19.30913611,0.530511265,19.30913611
6,0.153705988,0.005162623,19.90742716,0.557280226,19.90742716
7,0.144301431,0.004213194,20.70248288,0.588546351,20.70248288
8,0.137059761,0.003744661,20.40573633,0.582639736,20.70248288
9,0.131795016,0.003367662,21.33864176,0.626469652,21.33864176
10,0.12821899,0.00325599,21.59187243,0.63848513,21.59187243
11,0.124469687,0.003016747,21.90957399,0.654806042,21.90957399
12,0.122833972,0.002827306,21.80033487,0.655097569,21.90957399
13,0.119373226,0.002595346,22.10572037,0.675917347,22.10572037
14,0.117430688,0.002859069,22.24502299,0.692234375,22.24502299
15,0.116074854,0.002782957,22.24569734,0.683233293,22.24569734
16,0.114632707,0.00311679,22.10778796,0.672226966,22.24569734
17,0.112768849,0.00280391,21.90979937,0.682557736,22.24569734
18,0.112092449,0.003359268,22.36638829,0.698529933,22.36638829
19,0.110427202,0.003814835,22.63569414,0.713949545,22.63569414
20,0.109521003,0.003669533,22.52376057,0.710758127,22.63569414
21,0.108868261,0.004057122,22.56016583,0.714503675,22.63569414
22,0.107590917,0.004210256,22.46865262,0.709127604,22.63569414
23,0.106812733,0.004439757,22.58259268,0.713695325,22.63569414
24,0.105703444,0.004284348,22.27336557,0.713413937,22.63569414
25,0.104619333,0.004218852,22.60059216,0.723890616,22.63569414
26,0.10398247,0.004666524,22.61476923,0.717245073,22.63569414
27,0.102889981,0.004967408,22.58640322,0.729651693,22.63569414
28,0.101972986,0.004766662,22.63644604,0.729845404,22.63644604
29,0.1011558,0.005171867,22.5290019,0.702939452,22.63644604
30,0.100406756,0.004972239,22.59932154,0.722794262,22.63644604
31,0.099967746,0.004767215,22.63514249,0.728420957,22.63644604
32,0.099855095,0.004759666,22.67505642,0.725203349,22.67505642
33,0.101030894,0.004275437,22.75747415,0.732531383,22.75747415
34,0.103208492,0.003770433,22.80451878,0.734630921,22.80451878
35,0.096161999,0.003745966,22.33691985,0.717814018,22.80451878
36,0.097483202,0.003509543,22.82882971,0.740487756,22.82882971
37,0.096196315,0.003372009,22.68396498,0.734957155,22.82882971
38,0.094596532,0.003356168,22.80284923,0.733941387,22.82882971
39,0.095306513,0.00357688,22.7458831,0.73829945,22.82882971
40,0.093628159,0.003646154,22.61589619,0.7308619,22.82882971
41,0.092732215,0.00334718,22.80406734,0.738093138,22.82882971
42,0.092326944,0.002902414,22.80183951,0.738572139,22.82882971
43,0.092039988,0.004177187,22.84658828,0.739300448,22.84658828
44,0.090734057,0.002798885,22.66272179,0.736208678,22.84658828
45,0.091324231,0.003082205,22.86063367,0.745756919,22.86063367
46,0.090824101,0.01073974,22.82506709,0.741080808,22.86063367
47,0.090049709,0.004241432,22.87116031,0.74228087,22.87116031
48,0.090507357,0.002706992,22.82155064,0.739355718,22.87116031
49,0.088947276,0.003483977,22.872292,0.740683505,22.872292
50,0.090284952,0.004868952,22.79668712,0.739527829,22.872292
51,0.088350475,0.003101707,22.85874256,0.744436534,22.872292
52,0.088831952,0.004620654,22.85588194,0.745104367,22.872292
53,0.087115318,0.003512889,22.78858658,0.742173592,22.872292
54,0.086651738,0.003133222,22.92954855,0.746762716,22.92954855
55,0.08694241,0.006198397,22.88311788,0.745537554,22.92954855
56,0.08614262,0.003531371,22.81249418,0.744483357,22.92954855
57,0.087189187,0.004290707,22.87553458,0.746492013,22.92954855
58,0.085571027,0.003121316,22.93081343,0.748649666,22.93081343
59,0.08548772,0.004005622,22.86707245,0.747419343,22.93081343
60,0.086327927,0.004103497,23.01231281,0.752380673,23.01231281
61,0.084479377,0.003968619,22.89969525,0.748625555,23.01231281
62,0.084272378,0.003359492,22.88758067,0.744285986,23.01231281
63,0.083519535,0.003267681,22.961398,0.749729267,23.01231281
64,0.083335668,0.003512804,22.88702821,0.743499135,23.01231281
65,0.083021856,0.003346587,22.97807087,0.746985035,23.01231281
66,0.082421528,0.002896342,22.88038412,0.747001722,23.01231281
67,0.082932745,0.003983619,22.92192762,0.747769516,23.01231281
68,0.081560579,0.003711509,22.93991243,0.750170937,23.01231281
69,0.081399252,0.002699071,22.85884733,0.745794322,23.01231281
70,0.082094085,0.002856234,22.96518611,0.752664375,23.01231281
71,0.080278443,0.002315382,22.99957639,0.753449418,23.01231281
72,0.080408728,0.00232123,22.94200597,0.751811344,23.01231281
73,0.083556003,0.003301879,22.97829222,0.751908998,23.01231281
74,0.080647146,0.002019585,22.94017499,0.751296826,23.01231281
75,0.081442686,0.002587594,22.91666459,0.751075116,23.01231281
76,0.078980116,0.001715579,22.96502594,0.750258431,23.01231281
77,0.079317737,0.001885558,22.89473605,0.752089129,23.01231281
78,0.079201812,0.00181296,22.97049111,0.751969899,23.01231281
79,0.077672243,0.001262928,22.97669149,0.752798989,23.01231281
80,0.078130367,0.001983781,23.01315079,0.75221322,23.01315079
81,0.077432431,0.001317641,23.03274214,0.755723748,23.03274214
82,0.077391032,0.00167854,22.85440508,0.750024619,23.03274214
83,0.076822325,0.001741314,23.01017304,0.755115424,23.03274214
84,0.076896927,0.000966806,22.97870012,0.75217593,23.03274214
85,0.076604156,0.001201818,22.97708686,0.754235517,23.03274214
86,0.075729238,0.001017306,22.93946806,0.750565486,23.03274214
87,0.078543196,0.00325862,23.02535555,0.755294263,23.03274214
88,0.075412506,0.000975616,23.0482829,0.757562674,23.0482829
89,0.079366796,0.001735048,22.96733581,0.754434598,23.0482829
90,0.075271042,0.00091456,22.99164151,0.756004238,23.0482829
91,0.07461198,0.000979793,23.04041572,0.756989618,23.0482829
92,0.077325825,0.001128759,22.91446218,0.754577263,23.0482829
93,0.074243623,0.000933403,23.04238999,0.756385721,23.0482829
94,0.075483521,0.000736221,22.99859019,0.756941981,23.0482829
95,0.074037103,0.000908937,22.99580314,0.756461147,23.0482829
96,0.074089347,0.00104473,23.00735288,0.756665383,23.0482829
97,0.078418821,0.000941211,23.02342751,0.758784418,23.0482829
98,0.073557299,0.001194389,22.92678218,0.753454571,23.0482829
99,0.073353479,0.000916236,23.02452577,0.756094887,23.0482829
100,0.073276478,0.001649461,23.03544629,0.755504906,23.0482829
